,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id
292,Barnett,"WEST TEXAS OIL AND GAS OPER.,INC",TX,KENT,11/22/2021,V,KRONOS 5A 8,Robinson 11,OIL,"CLAIREMONT, EAST",STRAWN,"9,000 ft",2021-10-31,42-263-32146,33.2051577 / -100.6362432,1000,2021-10-29,42,263
293,West Coast,"BERRY PETROLEUM COMPANY, LLC",CA,KERN,11/22/2021,,SOUTHWESTERN 549,Ensign 508,UNKNOWN, , , ,2021-11-17,04-030-10879,35.2541428 / -119.5799026,530, ,4,30
294,West Coast,"BERRY PETROLEUM COMPANY, LLC",CA,KERN,11/22/2021,U,SECTION 31D 2340H BE,Ensign 548,OIL,MIDWAY-SUNSET,MONARCH, ,2021-11-14,04-030-69019,35.1038918 / -119.4402602,900,2021-03-02,4,30
295,West Coast,"BERRY PETROLEUM COMPANY, LLC",CA,KERN,11/22/2021,U,SECTION 31D 2420HR SO,Ensign 533,OIL,MIDWAY-SUNSET,NO POOL BREAKDOWN, ,2021-11-15,04-030-68756,35.1032151 / -119.4406768,800,2020-07-09,4,30
296,West Coast,"CALIFORNIA RESOURCES ELK HILLS, LLC",CA,KERN,11/22/2021,U,UNSPECIFIED 664UH-36-25B,Ensign 540,OIL,BUENA VISTA,ANTELOPE SHALE-WEST DOME, ,2021-11-16,04-030-68856,35.198706 / -119.4646344,900,2020-07-27,4,30
297,West Coast,CALIFORNIA RESOURCES PRODUCTION CORPORATION,CA,KERN,11/22/2021,U,SECURITY 1511V,Ensign 532,OIL,MOUNT POSO,VEDDER, ,2021-11-19,04-030-67526,35.5813412 / -118.9606705,628,2020-03-03,4,30
298,West Coast,CHEVRON U.S.A. INC.,CA,KERN,11/22/2021,U,UNSPECIFIED 1707BS,Ensign 509,OIL,CYMRIC,ETCHEGOIN, ,2021-11-18,04-030-69240,35.3498304 / -119.6653389,300,2021-08-03,4,30
299,DJ Basin,ADVANTAGE RESOURCES INC,NE,KIMBALL,11/22/2021,V,STATE 16-16,Murfin 120,OIL,WILDCAT,PENNSYLVANIAN,"8,150 ft",2021-11-02,26-105-22765,37.2969985 / -99.3063823,450,2021-08-24,26,105
300,Barnett,"BURNETT OIL CO., INC.",TX,KING,11/22/2021,V,BLACK ANGUS 1,Steinberger 3,OIL & GAS,"TOM B.,WILDCAT",BUNGER SAND,"9,000 ft",2021-11-14,42-269-32994,33.7457273 / -100.2268769,1000,2021-01-27,42,269
301,Barnett,"SALIDA EXPLORATION, LLC",TX,KING,11/22/2021,V,SPRINGER '148' 1,Blue Line 3,OIL,TAP,PENNSYLVANIAN,"6,500 ft",2021-11-18,42-269-32997,33.4503686 / -100.3537989,400,2021-11-03,42,269
302,Anadarko,HINKLE OIL & GAS INC,OK,KINGFISHER,11/22/2021,H,LINCOLN SOUTHEAST OSWEGO UNIT 45-3HO,Power Rig 3,OIL & GAS, ,OSWEGO,"11,867 ft",2021-11-11,35-073-26788,35.9441738 / -97.7832072,1200,2021-09-10,35,73
303,Anadarko,OVINTIV USA INC,OK,KINGFISHER,11/22/2021,H,ROSIA 1709 2H-18X,H&P 548,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","19,348 ft",2021-11-18,35-073-26786,35.9539004 / -98.1981662, ,2021-09-07,35,73
304,Anadarko,TAPSTONE ENERGY LLC,OK,KINGFISHER,11/22/2021,H,BEVERLY 27-17-7 1HC,Power Rig 8,OIL & GAS, ,OSWEGO,"17,500 ft",2021-11-13,35-073-26125,35.9138743 / -97.9370192,1500,2021-08-19,35,73
305,Barnett,"EXPRO ENGINEERING, INC.",TX,KNOX,11/22/2021,V,JONES UNIT 2,MCG Drilling 2,OIL & GAS,"AURELIA,WILDCAT", ,"6,500 ft",2021-11-15,42-275-32357,33.8064445 / -99.8073272,800,2021-11-01,42,275
306,Eagleford,CALLON (EAGLE FORD) LLC,TX,LA SALLE,11/22/2021,H,IRVIN EAST 883H,Patterson 561,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"11,000 ft",2021-11-12,42-283-37114,28.569511 / -98.9797758,1500,2021-09-09,42,283
307,Eagleford,CHEYENNE PETROLEUM COMPANY,TX,LA SALLE,11/22/2021,H,IRVIN 17H,Ensign 776,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"8,400 ft",2021-11-11,42-283-37099,28.5850672 / -98.926041,1500,2021-07-29,42,283
308,Eagleford,"PURSUIT OIL & GAS STX, LLC",TX,LA SALLE,11/22/2021,H,DORAN RANCH UNIT B 2H,Ensign T103,GAS,HAWKVILLE,EAGLEFORD SHALE,"12,000 ft",2021-11-19,42-283-37122,28.0931522 / -99.3367617,1496,2021-09-22,42,283
309,Eagleford,VENADO OPERATING COMPANY LLC,TX,LA SALLE,11/22/2021,H,SCHORP 310 E310,Patterson 299,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"9,000 ft",2021-11-12,42-283-37131,28.6359628 / -98.9125915,1500,2021-10-06,42,283
310,DJ Basin,SAMSON EXPLORATION LLC,WY,LARAMIE,11/22/2021,H,JACKALOPE 3410 12SH,Cyclone 37,OIL,WC,CODELL SAND,"22,235 ft",2021-11-17,49-021-28819,41.3118958 / -104.7483223,1500,2020-09-17,49,21
311,Permian - Delaware,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",NM,LEA,11/22/2021,H,ANDERSON FED COM 505H,Nabors X50,OIL,RED TANK,BONE SPRING,"18,459 ft",2021-11-20,30-025-49428,32.4274993 / -103.651607, ,2021-10-04,30,25
312,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,11/22/2021,H,NANDINA FED COM 25 36 31 127H,Nabors X49,OIL,WEST JAL,WOLFCAMP,"23,052 ft",2021-11-07,30-025-49181,31.7680568 / -103.7533592,1500,2021-07-14,30,25
313,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,11/22/2021,H,PAR THREE FED COM 25 36 06 101H,H&P 657,OIL,WEST JAL,WOLFCAMP,"23,102 ft",2021-11-16,30-025-46944,32.1693448 / -103.310557,1500,2020-03-06,30,25
314,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,11/22/2021,H,DOGWOOD FED COM 25 36 20 112H,Nabors X12,OIL,WEST JAL,WOLFCAMP,"22,356 ft",2021-11-19,30-025-49528,32.108928 / -103.2927918,1500,2021-11-05,30,25
315,Permian - Delaware,"AMEREDEV OPERATING, LLC",NM,LEA,11/22/2021,H,NANDINA 25 36 31 FEDERAL COM 095H,Citadel 3,OIL,WC-025 G-08 S253534O,BONE SPRING,"22,059 ft",2021-11-16,30-025-46425,32.0789621 / -103.3018416, ,2019-10-11,30,25
316,Permian - Delaware,"BTA OIL PRODUCERS, LLC",NM,LEA,11/22/2021,H,SOUTH RIDGE 8030 2-11 STATE COM 5H,Patterson 566,OIL,SOUTH OJO CHISO,BONE SPRING,"10,207 ft",2021-11-12,30-025-48548,32.3394875 / -103.4438373,1500,2021-03-12,30,25
317,Permian - Delaware,"CATENA RESOURCES OPERATING, LLC",NM,LEA,11/22/2021,H,RAMBO E2 08 17 STATE COM 001H,Scan Vision,OIL,SCHARB,WOLFCAMP,"22,000 ft",2021-11-17,30-025-49535,32.6827951 / -103.4750169,1500,2021-11-08,30,25
318,Permian - Delaware,"CAZA OPERATING, LLC",NM,LEA,11/22/2021,H,SIOUX 25-36 STATE FED COM 7H,Citadel 4,OIL,WC,BONE SPRING,"22,185 ft",2021-11-01,30-025-47455,32.1080051 / -103.3239553, ,2020-07-23,30,25
319,Permian - Delaware,CHEVRON USA INCORPORATED,NM,LEA,11/22/2021,H,DL 10 3 KRAKEN FED COM 207H,Patterson 815,OIL,WILDCAT,BONE SPRING,"20,677 ft",2021-11-14,30-025-49078,32.4000563 / -103.5630607,1500,2021-06-23,30,25
320,Permian - Delaware,"CHISHOLM ENERGY OPERATING, LLC",NM,LEA,11/22/2021,H,GRAMA RIDGE EAST 34 STATE COM 3BS 003H,Scan Star,OIL,NORTHEAST GRAMA RIDGE,BONE SPRING,"16,299 ft",2021-11-05,30-025-46538,32.4419149 / -103.4637117,1500,2019-11-25,30,25
321,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,11/22/2021,H,RED HILLS UNIT 037H,Cactus 148,OIL,WC-025 G-06 S253329D,UPR BONE SPRIN,"19,882 ft",2021-11-12,30-025-46600,32.0930318 / -103.5841441,1500,2019-12-17,30,25
322,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,11/22/2021,H,RED HILLS 32-5 FED COM 171H,Cactus 163,GAS,WC,UPPER WOLFCAMP,"22,127 ft",2021-11-07,30-025-49125,32.0932874 / -103.5931144,1500,2021-06-30,30,25
323,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,11/22/2021,H,SEAWOLF 12-1 FED 5H,Nabors M7505,OIL,WC,LOWER WOLFCAMP,"23,687 ft",2021-10-30,30-025-49127,32.0522512 / -103.5232822,1150,2021-07-01,30,25
324,Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",NM,LEA,11/22/2021,H,BROADSIDE 13-24 FED COM 4H,Cactus 135,OIL,WC,UPPER WOLFCAMP,"21,977 ft",2021-11-13,30-025-49262,32.2257899 / -103.5207657,2000,2021-07-30,30,25
325,Permian - Delaware,"EOG RESOURCES, INC",NM,LEA,11/22/2021,H,FRAZIER 27 STATE COM 209H,Pioneer 83,OIL,TRISTE DRAW,"BONE SPRING, EAST","20,009 ft",2021-10-31,30-025-46783,32.1943 / -103.5643728,1500,2020-01-27,30,25
326,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,COLGROVE 35 FED COM 751H,H&P 298,OIL,SANDERS TANK,UPPER WOLFCAMP,"20,512 ft",2021-11-04,30-025-48051,32.0007423 / -103.5462533,1500,2020-11-25,30,25
327,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,APPALOOSA 18 FED COM 722H,H&P 245,OIL,BOBCAT DRAW,UPPER WOLFCAMP,"20,253 ft",2021-11-11,30-025-49487,32.1239007 / -103.5145968,1500,2021-10-27,30,25
328,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,PEGASUS 3 FED COM 584H,AKITA 801,OIL,TRISTE DRAW,BONE SPRING,"21,817 ft",2021-11-16,30-025-47255,32.2405494 / -103.6657154,1800,2020-06-09,30,25
329,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,PEACHTREE 25 FED COM 747H,Pioneer 77,OIL,SANDERS TANK,UPPER WOLFCAMP,"23,405 ft",2021-11-02,30-025-49370,32.0212206 / -103.5248858,1500,2021-09-10,30,25
330,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,PEACHTREE 25 FED COM 751H,H&P 389,OIL,SANDERS TANK,UPPER WOLFCAMP,"23,302 ft",2021-11-02,30-025-49058,32.0211856 / -103.5324348,1500,2021-06-17,30,25
331,Permian - Delaware,"EOG RESOURCES, INC.",NM,LEA,11/22/2021,H,APPALOOSA 18 FED COM 723H,Nabors 1201,OIL,BOBCAT DRAW,UPPER WOLFCAMP,"20,244 ft",2021-11-12,30-025-49488,32.1239685 / -103.5107435, ,2021-10-27,30,25
332,Permian - Delaware,FRANKLIN MOUNTAIN ENERGY LLC,NM,LEA,11/22/2021,H,BLUE RIBBON FED COM 702H,H&P 537,OIL,WC-025 G-09 S263416B,UPPER WOLFCAMP,"22,261 ft",2021-11-04,30-025-47662,32.1661378 / -103.3425984,1500,2020-09-14,30,25
333,Permian - Delaware,FRANKLIN MOUNTAIN ENERGY LLC,NM,LEA,11/22/2021,H,VESTED FED COM 706H,H&P 518,OIL,WC,UPR WOLFCAMP,"21,891 ft",2021-11-16,30-025-48624,32.1659509 / -103.3176819,1500,2021-04-09,30,25
334,Permian - Delaware,FRANKLIN MOUNTAIN ENERGY LLC,NM,LEA,11/22/2021,H,CLINCHER FED COM 702H,H&P 556,OIL,WC,UPPER WOLFCAMP,"22,003 ft",2021-11-16,30-025-48810,32.1659368 / -103.3287094, ,2021-05-07,30,25
335,Permian - Delaware,KAISER-FRANCIS OIL CO,NM,LEA,11/22/2021,H,BELL LAKE UNIT NORTH 205H,Cactus 169,OIL,SOUTHWEST OJO CHISO,BONE SPRING,"18,350 ft",2021-11-16,30-025-48494,32.3357678 / -103.5188806,1800,2021-02-11,30,25
336,Permian - Delaware,KAISER-FRANCIS OIL CO,NM,LEA,11/22/2021,H,BELL LAKE UNIT NORTH 410H,Cactus 171,OIL,SOUTHWEST OJO CHISO,WOLFCAMP,"19,699 ft",2021-11-15,30-025-48520,32.3354302 / -103.5071129,1800,2021-02-23,30,25
337,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,LEA,11/22/2021,H,RODNEY ROBINSON FEDERAL 112H,Patterson 297,OIL,PRONGHORN,BONE SPRING,"20,222 ft",2021-10-29,30-025-46418,32.3404097 / -103.6138262,1500,2019-10-09,30,25
338,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,LEA,11/22/2021,H,RODNEY ROBINSON FED COM 123H,Patterson 295,OIL,PRONGHORN,BONE SPRING,"21,000 ft",2021-11-01,30-025-47348,32.3131309 / -103.6083701,1500,2020-06-30,30,25
339,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,LEA,11/22/2021,H,RODNEY ROBINSON FED COM 104H,Patterson 298,OIL,PRONGHORN,BONE SPRING,"19,743 ft",2021-10-31,30-025-48090,32.3135924 / -103.6038152,1500,2020-12-02,30,25
340,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,11/22/2021,H,NORTH WILSON DEEP UNIT 004H,Patterson 597,OIL,NORTH WILSON,BONE SPRING,"20,446 ft",2021-10-25,30-025-49423,32.4797653 / -103.3932482,1500,2021-10-01,30,25
341,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,11/22/2021,H,SANTA VACA 19 18 B3NC STATE COM 001H,Patterson 260,OIL,SCHARB,BONE SPRING,"21,231 ft",2021-11-19,30-025-49155,32.639307 / -103.500613,1500,2021-07-08,30,25
342,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,11/22/2021,H,RED HILLS WEST 22 W1AP FED COM 3H,Patterson 575,GAS,WC,UPPER WOLFCAMP,"17,223 ft",2021-11-04,30-025-49215,32.0335801 / -103.6579709,1200,2021-07-22,30,25
343,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,11/22/2021,H,RED HILLS WEST 22 W1CN FED COM 3H,Patterson 809,GAS,PURPLE SAGE,WOLFCAMP,"17,212 ft",2021-11-09,30-025-49247,32.0351785 / -103.664357,1500,2021-07-27,30,25
344,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,11/22/2021,H,CABRA NINO 14 B3MD STATE COM 001H,Patterson 588,OIL,OJO CHISO,BONE SPRING,"16,250 ft",2021-11-04,30-025-49265,32.3851608 / -103.4451814,1500,2021-07-30,30,25
345,Permian - Delaware,OXY USA INCORPORATED,NM,LEA,11/22/2021,H,"TACO CAT ""27_34"" FEDERAL COM 36H",Citadel 2,OIL,RED TANK,BONE SPRING,"22,641 ft",2021-11-21,30-025-46938,32.3691022 / -103.6581945, ,2020-03-05,30,25
346,Permian - Delaware,OXY USA INCORPORATED,NM,LEA,11/22/2021,H,"TACO CAT ""27_34"" FEDERAL COM 24H",Pioneer 82,OIL,RED TANK,BONE SPRING,"16,353 ft",2021-11-08,30-025-46949,32.3684906 / -103.6582508,1500,2020-03-09,30,25
347,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,PROMETHEUS STATE COM 203H,H&P 376,OIL,WC,UPPER WOLFCAMP,"22,847 ft",2021-11-16,30-025-48772,32.1981816 / -103.5597811,1500,2021-04-30,30,25
348,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,POSEIDON STATE COM 221H,H&P 425,OIL,WC,UPPER WOLFCAMP,"23,246 ft",2021-11-11,30-025-48673,32.2258596 / -103.5824234,1500,2021-04-16,30,25
349,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,PROMETHEUS STATE COM 202H,H&P 388,OIL,WC,UPPER WOLFCAMP,"22,816 ft",2021-11-16,30-025-48739,32.19794 / -103.562734,1500,2021-04-28,30,25
350,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,POSEIDON STATE COM 152H,H&P 312,OIL,"TRIPLE X,WEST TRIPLE X",BONE SPRING,"21,933 ft",2021-11-11,30-025-48672,32.2268156 / -103.5790107,1500,2021-04-16,30,25
351,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,PROMETHEUS STATE COM 214H,H&P 261,OIL,WC,UPPER WOLFCAMP,"23,068 ft",2021-11-16,30-025-48776,32.1981232 / -103.5565709,1500,2021-04-30,30,25
352,Permian - Delaware,"TAP ROCK OPERATING, LLC",NM,LEA,11/22/2021,H,PROMETHEUS STATE COM 201H,H&P 264,OIL,WC,UPPER WOLFCAMP,"22,875 ft",2021-11-16,30-025-48738,32.1987542 / -103.5679915,1500,2021-04-28,30,25
353,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,11/22/2021,H,LONESOME DOVE FED COM 432H,H&P 474,OIL,SOUTHWEST JABALINA,WOLFCAMP,"20,950 ft",2021-11-12,30-025-48156,32.0403458 / -103.3913412,1500,2020-12-13,30,25
354,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,11/22/2021,H,CATTLEMEN FED COM 403H,H&P 656,OIL,WC-025 G-08 S263412K,BONE SPRING,"21,437 ft",2021-11-14,30-025-48126,32.0449722 / -103.3877547, ,2020-12-08,30,25
355,Northeast,"HG ENERGY II APPALACHIA, LLC",WV,LEWIS,11/22/2021,H,EVANS 1213 S-5H  ,Precision 575,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-21,47-041-05721,39.1154158 / -80.5149579,1500,2021-05-03,47,41
356,Gulf Coast,KINGWOOD EXPLORATION LLC,TX,LIBERTY,11/22/2021,D,"PEW, JNO. G. 9",LAUSON 1,OIL & GAS,HULL, ,"7,800 ft",2021-11-19,42-291-32946,30.132006 / -94.6251935,750,2021-10-21,42,291
357,Arkoma,PRAIRIE GAS COMPANY OF OKLAHOMA LLC,OK,LINCOLN,11/22/2021,H,DART 1-31 HP,Dan D 20,OIL & GAS, ,PRUE,"8,847 ft",2021-11-11,35-081-24321,35.6376359 / -96.8039575,750,2021-10-14,35,81
358,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,LIVE OAK,11/22/2021,H,MARY KRAUSE UNIT A 3,H&P 450,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"17,000 ft",2021-11-16,42-297-36154,28.7109617 / -98.1158029,1500,2021-08-05,42,297
359,Eagleford,BURLINGTON RESOURCES O & G CO LP,TX,LIVE OAK,11/22/2021,H,1893 G-H USW B 1,H&P 464,OIL & GAS,SUGARKANE,EAGLE FORD,"17,500 ft",2021-11-18,42-297-36162,28.5843337 / -98.1966591,1500,2021-09-09,42,297
360,Anadarko,"RITCHIE EXPLORATION, INC.",KS,LOGAN,11/22/2021,V,DIRKS 25D 1,Sterling 4,OIL,WING SOUTHEAST,MISSISSIPPIAN,"4,900 ft",2021-11-10,15-109-21628,38.718272 / -101.2699224,450,2021-10-19,15,109
361,West Coast,SOUTHERN CALIFORNIA GAS COMPANY,CA,LOS ANGELES,11/22/2021,U,WEZU 18 E,Ensign 551,STORAGE,HONOR RANCHO,WAYSIDE 13, ,2021-09-28,04-037-30575,34.4515901 / -118.591919, ,2020-09-15,4,37
362,Anadarko,TRAILHEAD EXPLORATION LLC,OK,LOVE,11/22/2021,H,THE RANGER 1-5H8X17,Nabors X21,OIL & GAS, ,"MISSISSIPPIAN, SYLVAN, WOODFORD", ,2021-09-11,35-085-21331,33.8829719 / -97.0146614,1500,2021-08-12,35,85
363,Anadarko,XTO ENERGY INC,OK,LOVE,11/22/2021,H,MILLER 1-28H20X17X8R,H&P 648,OIL & GAS, ,"CANEY, HUNTON, WOODFORD", ,2021-10-13,35-085-21333,33.9251483 / -97.1075964, ,2021-08-12,35,85
364,Anadarko,XTO ENERGY INC,OK,LOVE,11/22/2021,H,ALMA 1-12H13X24,H&P 649,OIL & GAS, ,"HUNTON, MISSISSIPPIAN, WOODFORD", ,2021-09-21,35-085-21322,33.8815539 / -97.0531254,1500,2020-12-22,35,85
365,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,GOLDENEYE 54-2-3 UNIT 61H,H&P 252,OIL & GAS,SANDBAR,BONE SPRING,"13,000 ft",2021-11-20,42-301-35658,31.8988681 / -103.648324,1500,2021-09-08,42,301
366,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,CITRA 28-0-6-28 A 12HB,H&P 479,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-04,42-301-35644,31.8329695 / -103.4146079,1500,2021-09-08,42,301
367,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,KING CANYON STATE 54-1-8-5 D 74H,Ensign 778,OIL & GAS,PHANTOM,WOLFCAMP,"11,967 ft",2021-11-17,42-301-35628,31.969439 / -103.6728257,1500,2021-08-23,42,301
368,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,CITRA 28-0-6-28 B 13HE,H&P 267,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-18,42-301-35647,31.8332077 / -103.4143334,1500,2021-09-08,42,301
369,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,KING CANYON STATE 54-1-8-5 F 13H,Ensign 774,OIL & GAS,PHANTOM,WOLFCAMP,"11,967 ft",2021-11-06,42-301-35623,31.9695019 / -103.6816545,1500,2021-08-23,42,301
370,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,CITRA 28-0-6-28 F 17HD,Nabors X30,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-08,42-301-35659,31.8362117 / -103.4080195,1500,2021-09-08,42,301
371,Permian - Delaware,ANADARKO E&P ONSHORE LLC,TX,LOVING,11/22/2021,H,GOLDENEYE 54-2-3 UNIT 74H,H&P 244,OIL & GAS,PHANTOM,WOLFCAMP,"14,000 ft",2021-11-08,42-301-35632,31.8991116 / -103.6388304,1500,2021-08-24,42,301
372,Permian - Delaware,"EOG RESOURCES, INC.",TX,LOVING,11/22/2021,H,EXCELSIOR 12 555H,H&P 246,OIL & GAS,SANDBAR,BONE SPRING,"12,000 ft",2021-11-16,42-301-35010,32.1372562 / -103.6299637,1500,2020-02-19,42,301
373,Permian - Delaware,"EOG RESOURCES, INC.",TX,LOVING,11/22/2021,H,EXCELSIOR 12 UNIT 553H,H&P 258,OIL & GAS,SANDBAR,BONE SPRING,"12,000 ft",2021-11-16,42-301-35009,31.9874883 / -103.61259,1500,2020-02-19,42,301
374,Permian - Delaware,MATADOR PRODUCTION COMPANY,TX,LOVING,11/22/2021,H,BARNETT TRUST 90-TTT-B01 WF B 121H,Patterson 256,OIL,TWO GEORGES,BONE SPRING,"10,100 ft",2021-11-18,42-301-35334,31.7561709 / -103.5727713,1500,2021-03-16,42,301
375,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,11/22/2021,H,SWAPPORTUNITY 75-11 LOV UNIT 4H,Nabors X04,OIL & GAS,PHANTOM,WOLFCAMP,"12,500 ft",2021-10-28,42-301-35392,31.8784566 / -103.4157838,1500,2021-04-01,42,301
376,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,11/22/2021,H,WAHOO 53-2-23 LOV UNIT 11H,Nabors X05,OIL & GAS,SANDBAR,BONE SPRING,"10,800 ft",2021-11-06,42-301-35578,31.8845857 / -103.5688276,1500,2021-07-16,42,301
377,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,11/22/2021,H,LINK-VJ RANCH 55-2-15 LOV ND 4H,Nabors X31,OIL & GAS,PHANTOM,WOLFCAMP,"11,400 ft",2021-11-14,42-301-35585,31.8414596 / -103.7503771,1500,2021-07-21,42,301
378,Permian - Delaware,SHELL WESTERN E&P,TX,LOVING,11/22/2021,H,PERMIT 76-44 LOV UNIT 1H,Nabors X48,OIL & GAS,PHANTOM,WOLFCAMP,"12,100 ft",2021-11-18,42-301-35446,31.8845959 / -103.5804641,1500,2021-04-23,42,301
379,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,11/22/2021,H,CBR 8-5M-56-1 413H,Patterson 803,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-16,42-301-35537,31.9700509 / -103.8756738,1500,2021-07-01,42,301
380,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,11/22/2021,H,CBR 8-5L-56-1 423H,Patterson 564,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-11,42-301-35535,31.9695995 / -103.882899,1500,2021-07-01,42,301
381,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,11/22/2021,H,LINDSAY 3-10O-55-1 442H,H&P 600,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-17,42-301-35580,31.9995868 / -103.7393333,1500,2021-07-22,42,301
382,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,11/22/2021,H,REN STATE 13-14C 434H,Patterson 565,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-10,42-301-35675,31.9738672 / -103.3552088,1500,2021-10-20,42,301
383,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,11/22/2021,H,CBR 8-5J-56-1 337H,H&P 314,OIL & GAS,SANDBAR,BONE SPRING,"16,000 ft",2021-11-16,42-301-35618,31.9700439 / -103.8767088,1500,2021-08-04,42,301
384,Northeast,"ARD OPERATING, LLC",PA,LYCOMING,11/22/2021,H,COP TRACT 551 B-12H,Precision 110,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"22,472 ft",2021-11-01,37-081-21883,41.5043866 / -77.0045417,1500,2021-01-26,37,81
385,Eagleford,WHEELER OPERATING CORPORATION,TX,MADISON,11/22/2021,V,CECIL MCFARLAND 5,"Big ""6"" 6",OIL,WILDCAT, ,"9,500 ft",2021-11-18,42-313-31387,30.9925879 / -95.8674286,900,2021-11-10,42,313
386,Gulf Coast,"FREEPORT-MCMORAN ENERGY, LLC",LA,MAIN PASS OFFSHORE,11/22/2021,,OCS-G 09372 SW257 ST 3,Blake 651,UNKNOWN, , , ,2021-11-15,17-724-4066603,29.2656727 / -88.7583313,650, ,17,724
387,Anadarko,KIRKPATRICK OIL COMPANY INC,OK,MAJOR,11/22/2021,V,CHEVAL 5-2,Atlas 3,OIL & GAS, ,CHEROKEE SAND,"7,150 ft",2021-11-14,35-093-25262,36.3334124 / -98.7174903,1000,2021-10-07,35,93
388,Northeast,"HG ENERGY II APPALACHIA, LLC",WV,MARSHALL,11/22/2021,H,MND23 N-1H MND23 N-1H,Hall 6,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-14,47-051-02407,39.81476 / -80.7659667, ,2021-09-13,47,51
389,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,MARSHALL,11/22/2021,H,OE BURGE MSH 3H OE BURGE MSH 3H,SWN Drilling 41,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-06,47-051-02414,39.750871 / -80.6317458,1500,2021-10-05,47,51
